Name,Season,Yards,TD,INT,Score,Seasons
Joseph Addai,2009,15.018434803029415,0.9583162097105619,-0.03076381142488111,2.7290817824223566,1
Joseph Charlton,2020,20.769937522969496,-0.048070562293274534,-0.022638735758912166,0.98763322307975,1
Josh Allen,2018,-216.17997467233863,-0.49245186183472356,1.1360320479427388,-14.065966553171858,3
Josh Brown,2009,29.018434803029415,0.9583162097105619,-0.03076381142488111,3.4290817824223567,1
Josh Bush,2013,-7.122684164093515,-0.0443317159241288,-0.02767975297750331,-0.38943813409792677,1
Josh Cribbs,2006,-21.934300058450013,-0.6260936946623793,0.5608551879854383,-3.470612768218136,5
Josh Freeman,2009,-638.9802286058668,-6.831776654336909,9.621413530174188,-64.85539179931554,6
Josh Gordon,2014,-14.430154816891847,-0.08977910964162972,0.9518654791360334,-2.8047969183999184,2
Josh Huff,2016,-7.152992620934682,-0.04296255807597704,-0.022683793386171085,-0.398207160426346,1
Josh Johnson,2009,-282.74192836960214,-3.808560248482504,6.477062773501455,-34.70834246244803,4
Josh McCown,2002,-824.623752659776,-16.29031741642601,9.313317611759995,-92.43845768936082,14
Josh Miller,2003,74.36282059055357,0.9603468137997938,-0.03261989935123992,5.704074455829747,1
Josh Morgan,2012,-7.08067236339105,-0.04255677985158534,-0.026309871823701373,-0.3865274342253205,1
Josh Rosen,2018,-839.1710105804591,-11.703151203740692,7.1782913347288115,-79.72143560596197,2
Joshua Dobbs,2018,-45.46154716767586,-0.5751796729104182,0.7154660177692265,-4.854368739743082,1
Jug Girard,1948,-276.542313885041,-5.2669512895790875,-1.814132115583045,-20.732754042244135,7
Julian Edelman,2018,84.35490145060939,0.7187108825413874,-0.13863045780179156,5.932427753216826,3
Julie Alfonse,1937,-0.8160729552579156,-0.5874933843585881,-1.3527202160431,1.4896500156061276,2
Julie Rykovich,1951,-20.470497294511723,-0.15459933006956972,0.7773769646998197,-2.887477454264365,1
June Jones,1977,-206.15488790229261,-3.7307034447357146,-1.27161776295432,-15.225915758677418,4
Junie Hovious,1945,59.12149976269575,1.6203132415757002,0.786426198386331,4.623849074513526,1
Justin Armour,1995,-6.771004251751602,-0.039702976226121324,-0.03066051859392778,-0.35663512785196716,1
Justin Herbert,2020,-65.6784270488788,1.1278941565600888,-1.3006247703050349,1.5731165012863073,1
Justin Tucker,2016,-7.152992620934682,-0.04296255807597704,-0.022683793386171085,-0.398207160426346,1
Karl Sweetan,1966,-881.1509249875738,-11.276251288361424,2.303281603615369,-71.21661203333227,5
Kay Eakin,1940,-108.1196376878511,-1.7588508313024205,0.8543825556978644,-10.632448658393125,2
Kay Stephenson,1967,-239.3575185082086,1.0276089800086694,3.0359214654850066,-15.984500896363105,2
Keenan Allen,2020,-7.230062477030503,-0.048070562293274534,-0.022638735758912166,-0.41236677692024987,1
Keenan McCardell,2004,-7.052586523174758,-0.04475969181851535,-0.03204109086462028,-0.3780665280665281,1
Keith Beebe,1944,-9.342005676442763,-0.16603595080416272,0.6679280983916746,-2.1350283822138127,1
Keith Byars,1986,29.148281179395077,5.486656365843183,0.5256208593855478,11.379485071885025,6
Keith Henderson,1992,29.137604415274463,0.9615155131264916,-0.0387082338902148,3.457327714797136,1
Keith Jones,1989,15.98532711863238,-0.12161809446044747,-0.11320900587092109,0.7824481787525664,3
Keith Kinderman,1964,-7.047466666666667,-0.050666666666666665,-0.06373333333333334,-0.32624000000000003,1
Keith Lincoln,1962,124.34893029276097,4.154652308708341,-0.0499744224016174,14.626699976857967,5
Keith Molesworth,1932,336.00242204190465,8.318892335910377,-9.553565209472119,52.54503619286022,6
Keith Null,2009,-264.80625843949974,-1.9603710444431401,5.3391064404391475,-27.839267891739564,1
Kellen Clemens,2006,-426.7274085698344,-11.509441004217223,2.276239048717792,-48.907730534361754,12
Kellen Moore,2015,24.838015083615687,-0.78565963493278,3.5219149633839764,-7.373248442452728,1
Kellen Winslow,1981,-21.080904176853505,-0.12369466994115208,-0.1298890727473052,-1.041656403230369,2
Kelly Holcomb,1997,-114.12000213634562,3.0393240364734777,9.828256009390639,-19.2838640526516,7
Kelly Moan,1939,20.024128686327074,0.6018766756032171,1.1595174262734584,-0.11407506702412906,1
Kelly Stouffer,1988,-691.093720798823,-10.06328805110024,2.050302564587867,-58.781867271317374,4
Kelvin Bryant,1987,-6.958861463197687,-0.04528945222741087,-0.0400266844563042,-0.35846860870209774,1
Kelvin Harmon,2019,3.779308799641517,-0.044642357026830226,-0.022965327956085812,0.14561138184058703,1
Ken Anderson,1971,2343.7472102513793,9.249361208339174,-59.3776371319588,254.44135719316492,16
Ken Burrough,1977,-20.09438584357551,-0.12066383695974905,-0.15744614245141847,-0.9311546811954367,3
Ken Carpenter,1950,-6.7448339911771535,-0.05107963779893197,0.9203622010680288,-2.280125377292779,1
